,0
0,HBSC
1,seqno_int
2,cluster
3,countryno
4,region
5,id1
6,id2
7,id3
8,id4
9,weight
10,adm
11,month
12,year
13,age
14,agecat
15,sex
16,grade
17,monthbirth
18,yearbirth
19,fasfamcar
20,fasbedroom
21,fascomputers
22,fasbathroom
23,fasdishwash
24,fasholidays
25,health
26,lifesat
27,headache
28,stomachache
29,backache
30,feellow
31,irritable
32,nervous
33,sleepdificulty
34,dizzy
35,thinkbody
36,physact60
37,breakfastwd
38,breakfastwe
39,fruits_2
40,vegetables_2
41,sweets_2
42,softdrinks_2
43,fmeal
44,toothbr
45,timeexe
46,smokltm
47,smok30d_2
48,alcltm
49,alc30d_2
50,drunkltm
51,drunk30d
52,cannabisltm_2
53,cannabis30d_2
54,bodyweight
55,bodyheight
56,likeschool
57,schoolpressure
58,studtogether
59,studhelpful
60,studaccept
61,teacheraccept
62,teachercare
63,teachertrust
64,bulliedothers
65,beenbullied
66,cbulliedothers
67,cbeenbullied
68,fight12m
69,injured12m
70,friendhelp
71,friendcounton
72,friendshare
73,friendtalk
74,emconlfreq1
75,emconlfreq2
76,emconlfreq3
77,emconlfreq4
78,emconlpref1
79,emconlpref2
80,emconlpref3
81,emcsocmed1
82,emcsocmed2
83,emcsocmed3
84,emcsocmed4
85,emcsocmed5
86,emcsocmed6
87,emcsocmed7
88,emcsocmed8
89,emcsocmed9
90,hadsex
91,agesex
92,contraceptcondom
93,contraceptpill
94,countryborn
95,countrybornmo
96,countrybornfa
97,motherhome1
98,fatherhome1
99,stepmohome1
100,stepfahome1
101,fosterhome1
102,elsehome1_2
103,employfa
104,employmo
105,employnotfa
106,employnotmo
107,talkfather
108,talkstepfa
109,talkmother
110,talkstepmo
111,famhelp
112,famsup
113,famtalk
114,famdec
115,MBMI
116,IRFAS
117,IRRELFAS_LMH
118,IOTF4
119,oweight_who
